tiempo;valor;maker;bp;dx;sq;ma
25.475;1.6796875;0;-0.012128274;0.275049017;0.075651962;1.360918676
25.555;1.6796875;0;0.004556585;-1.878705818;3.52953555;0.854377656
26.37;1.6796875;0;-0.013450807;-0.602265106;0.362723258;12.38059285
26.49;1.6796875;0;0.006575534;-1.977083246;3.90885816;1.651410655
26.495;1.6796875;0;-0.003309883;-1.751692384;3.068426207;1.710986703
28.82;1.6796875;1;0.073413315;-5.885450285;34.63852506;8.357792523
29.185;1.6796875;0;-0.005282947;1.852266911;3.430892709;1.064296628
30.215;1.6796875;0;0.040650529;-1.134981324;1.288182607;65.86078469
31.02;1.6796875;0;0.073900864;3.369817004;11.35566664;4.22580431
31.05;1.6796875;0;0.05836959;-4.567849479;20.86524887;5.941762982
31.155;1.6796875;0;0.126627422;12.17455636;148.2198227;31.7422285
32.155;1.6796875;0;0.023876094;-5.005874675;25.05878126;8.985917822
32.47;1.6796875;0;-0.028642069;0.659268838;0.434635401;10.62765103
33.605;1.6796875;0;-0.029396554;0.628431933;0.394926695;2.032991141
34.265;1.6796875;0;0.074459669;-4.443407883;19.74387362;5.487793937
34.27;1.6796875;0;0.05224263;-4.757274189;22.63165771;6.213351377
35.585;1.6796875;0;0.001764066;-1.68893859;2.85251356;27.02744376
36.365;1.6796875;0;0.016812649;-3.859308583;14.89426274;7.158405704
36.67;1.6796875;0;-0.025773361;-0.292524984;0.085570866;14.15564705
38.4;1.6796875;0;0.036314437;4.708124492;22.16643623;3.146428477
38.545;1.6796875;0;0.181133898;10.87982598;118.3706133;38.91419458
38.75;1.6796875;0;-0.014571027;0.037683369;0.001420036;14.75844695
39.84;1.6796875;0;0.021970318;1.505672798;2.267050574;1.125816615
39.85;1.6796875;0;0.035693694;0.814670312;0.663687717;1.080088647
40.38;1.6796875;0;0.047463365;4.280604155;18.32357193;3.466501871
40.685;1.6796875;0;0.024041787;-0.840741679;0.706846572;46.52640018
40.7;1.6796875;0;0.005273424;-1.576949367;2.486769305;30.99442494
40.84;1.6796875;0;0.019876559;-1.757571458;3.089057431;0.886025247
41.725;1.6796875;0;-0.012563769;0.0737733;0.0054425;1.681403737
42.325;1.6796875;0;0.073440649;-5.641722601;31.82903391;8.323808131
42.635;1.6796875;0;-0.025026861;-0.300148636;0.090089203;10.21655943
43.57;1.6796875;0;0.003904456;-1.970311162;3.882126075;21.94112402
45.485;1.6796875;0;0.015633459;1.587852089;2.521274256;60.60119008
45.675;1.6796875;0;-0.003998616;-2.127436937;4.52598792;1.547610197
45.68;1.6796875;0;-0.0146358;-1.819698543;3.311302789;1.582205579
47.55;1.6796875;0;-0.006754472;-1.380442918;1.905622649;19.09576931
48.545;1.6796875;0;-0.022756154;-0.474634397;0.225277811;15.73297471
49.185;1.6796875;0;0.101109687;0.566927728;0.321407049;4.008703552
49.51;1.6796875;1;-0.011203884;-0.441550762;0.194967075;9.64101788
49.52;1.6796875;0;-0.014556462;-0.095691578;0.009156878;9.17489082
49.635;1.6796875;0;0.019470608;-2.142056977;4.588408092;1.075803322
50.12;1.6796875;0;0.050911381;4.556344113;20.76027167;3.232285096
50.445;1.6796875;0;0.007681268;-1.988429715;3.953852732;32.94108456
51.08;1.6796875;0;0.086970808;2.715382824;7.373303879;4.534369608
52.02;1.6796875;0;0.046914329;-4.877278942;23.78784988;7.369931902
52.12;1.6796875;0;0.144309089;12.02436041;144.5852432;35.44513709
52.345;1.6796875;0;-0.022932064;0.283174604;0.080187856;6.295919995
53.3;1.6796875;0;-0.029042801;-0.036446486;0.001328346;13.75004459
53.91;1.6796875;0;0.078950471;3.831118779;14.6774711;4.828648713
54.25;1.6796875;0;-0.020652279;-0.284805325;0.081114073;10.90974896
54.255;1.6796875;0;-0.022076306;-0.080388845;0.006462366;10.82278024
55.185;1.6796875;0;0.010439607;-1.44018197;2.074124105;55.30018396
55.195;1.6796875;0;-0.003706567;-1.19709001;1.433024491;26.81845043
56.205;1.6796875;0;-0.019016348;-0.544046499;0.295986593;13.07073684
56.21;1.6796875;0;-0.02173658;-0.274175571;0.075172244;12.74251833
56.22;1.6796875;0;-0.023601464;-0.019952438;0.0003981;8.854110114
57.135;1.6796875;0;0.034294756;-0.882617838;0.779014247;50.02721303
57.14;1.6796875;0;0.029881666;-1.560239352;2.434346835;47.81539207
57.295;1.6796875;0;0.002341324;-2.093181359;4.3814082;1.727378268
58.05;1.6796875;0;0.023650062;-15.63837534;244.5587833;59.87369257
58.205;1.6796875;0;-0.006423392;-1.421650822;2.021091061;17.70900509
58.22;1.6796875;0;-0.022399364;-0.351328361;0.123431617;14.15657172
58.225;1.6796875;0;-0.024156005;-0.081535317;0.006648008;13.42325512
58.48;1.6796875;0;0.017623175;0.006227125;3.88E-05;0.987796397
58.525;1.6796875;0;-0.00190638;-0.661230201;0.437225378;0.380607154
60.83;1.6796875;0;0.090599821;1.837760319;3.377362989;4.108448792
61.13;1.6796875;0;0.024183953;-0.637950281;0.406980562;45.23448806
61.155;1.6796875;0;-0.005568646;-1.271647156;1.617086489;14.12362754
62.11;1.6796875;0;0.006288387;-2.230215653;4.973861857;27.51782266
62.125;1.6796875;0;-0.023233242;-1.189388634;1.414645322;16.01857453
62.145;1.6796875;0;-0.033214327;0.459261442;0.210921072;9.612481388
62.24;1.6796875;0;0.023641467;-1.683692743;2.834821253;1.534339898
63.01;1.6796875;0;0.005955647;0.864227863;0.7468898;59.96108408
63.025;1.6796875;1;0.020084401;0.482061532;0.232383321;46.60799389
63.03;1.6796875;1;0.022494709;-0.095819695;0.009181414;46.07243046
63.04;1.6796875;0;0.018551533;-1.185541334;1.405508254;44.53132988
63.325;1.6796875;0;0.025049868;-0.11436423;0.013079177;1.432516894
63.405;1.6796875;0;-0.013515868;0.142424342;0.020284693;0.382924381
63.73;1.6796875;0;-0.007278178;-3.527686042;12.44456881;9.386276532
64.08;1.6796875;0;-0.002547904;1.294925851;1.67683296;1.550322521
64.115;1.6796875;0;0.042639862;0.16753471;0.028067879;1.284913662
64.83;1.6796875;1;0.070960694;-16.91021588;285.9554012;65.80154711
64.99;1.6796875;0;-0.009906174;-1.068093379;1.140823467;15.9787735
65.11;1.6796875;0;0.026010603;-1.523938674;2.322389083;0.420354994
65.95;1.6796875;0;-0.009352308;-0.855763823;0.73233172;12.6404788
65.98;1.6796875;0;-0.025590746;-0.310987551;0.096713257;4.186853124
67.06;1.6796875;0;0.009781502;-2.763415277;7.636463993;1.730253577
67.95;1.6796875;0;-0.012481248;-0.022468157;0.000504818;0.904466942
67.985;1.6796875;0;0.011818864;1.648741245;2.718347692;0.608084682
68.015;1.6796875;0;0.039520753;-0.770985427;0.594418528;0.74312291
68.025;1.6796875;1;0.029391029;-1.627661074;2.649280573;0.861567174
68.775;1.6796875;0;0.020470261;0.527355642;0.278103973;63.11534179
69.785;1.6796875;1;-0.016467236;0.025656194;0.00065824;2.457085802
69.815;1.6796875;0;-0.004885649;1.265619489;1.601792691;0.823192673
69.855;1.6796875;0;0.036923603;-0.707414178;0.500434819;0.678360072
69.86;1.6796875;0;0.033386532;-1.208593131;1.460697356;0.720567217
70.415;1.6796875;0;0.186071416;9.496716376;90.18762193;36.11826386
70.66;1.6796875;0;-0.008291246;0.252404026;0.063707792;1.467516843
70.675;1.6796875;0;-0.002070171;0.853477547;0.728423924;1.01923142
71.31;1.6796875;0;0.135752467;12.05041492;145.2124998;32.32427321
71.505;1.6796875;0;-0.010558085;-1.173275405;1.376575175;14.3672836
71.525;1.6796875;0;-0.021722515;0.338369739;0.11449408;11.0746988
72.345;1.6796875;0;-0.003809364;1.378915833;1.901408874;91.57696937
73.31;1.6796875;0;0.049225807;-2.33244339;5.440292167;76.78661035
73.36;1.6796875;0;0.015176154;0.811330615;0.658257366;46.26511467
73.4;1.6796875;0;-0.016828921;-1.022897292;1.046318869;12.62696761
73.52;1.6796875;1;0.020141062;-0.967112367;0.935306331;0.6500875
73.535;1.6796875;0;0.002491093;-1.424823518;2.030122058;0.641537012
74.1;1.6796875;0;0.075520452;2.684158966;7.204709354;3.140721219
74.445;1.6796875;0;-0.026350881;-0.65517927;0.429259875;12.72464778
74.47;1.6796875;1;-0.033729768;0.382147992;0.146037087;2.487874444
75.155;1.6796875;0;0.098906749;3.682027608;13.5573273;84.60151063
75.325;1.6796875;0;0.140731048;-10.83469172;117.3905446;83.61126978
77.64;1.6796875;0;0.028945676;-2.438588295;5.946712871;15.71173349
78.725;1.6796875;0;0.001496007;-1.648452036;2.717394114;0.929148478
79.135;1.6796875;0;-0.036105023;-0.689902241;0.475965102;14.44669309
79.61;1.6796875;0;0.064534526;3.829549256;14.66544751;6.287831885
80.69;1.6796875;0;0.004614556;-0.136795154;0.018712914;50.17450768
80.855;1.6796875;0;0.016266709;-2.42612281;5.886071891;1.286614725
81.5;1.6796875;0;-0.004826623;-2.561741374;6.56251887;35.67872554
82.14;1.6796875;0;0.123357267;14.6705028;215.2236523;40.92089457
82.225;1.6796875;0;-0.039638806;8.028893397;64.46312918;96.25155003
82.255;1.6796875;0;0.030329052;-2.507263914;6.286372333;95.69518647
83.235;1.6796875;0;0.001018164;-1.271829477;1.617550218;92.53431212
84.485;1.6796875;0;0.014030969;-2.304328843;5.309931417;1.767515913
85.32;1.6796875;0;-0.009873602;-0.592712504;0.351308112;10.82546494
85.98;1.6796875;0;0.070934628;-4.563502244;20.82555273;6.175009137
86.945;1.6796875;0;0.040587841;4.88532067;23.86635805;3.749485422
88.25;1.6796875;0;0.018637606;-1.115526786;1.244400011;53.47263753
89.965;1.6796875;0;-0.037450973;-1.947362814;3.792221929;7.450884747
90.235;1.6796875;0;-0.007391736;-1.195006965;1.428041645;16.55218933
90.375;1.6796875;0;0.002820245;-1.55971268;2.432703643;0.793100192
91.76;1.6796875;0;0.041984996;5.230594842;27.3591224;4.156025855
93.25;1.6796875;0;0.021944109;-2.984014153;8.904340468;2.110374711
93.925;1.6796875;0;0.032756896;-4.37844153;19.17075024;5.992582346
94.185;1.6796875;0;0.023930179;0.498139313;0.248142775;47.8123079
94.205;1.6796875;0;0.017231399;-1.359420716;1.848024682;34.32613189
94.235;1.6796875;0;-0.015071887;-0.283583551;0.08041963;11.8451209
95.38;1.6796875;0;0.012097886;-1.472148567;2.167221402;1.364440743
97.485;1.6796875;0;0.023527957;-2.045989656;4.186073672;36.79076405
97.49;1.6796875;0;0.013298009;-2.121143015;4.499247692;27.60761075
98.62;1.6796875;0;0.005845719;-1.609771645;2.591364748;22.43049343
98.625;1.6796875;0;-0.002203139;-1.458961476;2.128568588;17.01703732
98.645;1.6796875;0;-0.024977545;-0.647036974;0.418656845;13.19585383
98.655;1.6796875;0;-0.03067313;-0.335314381;0.112435734;7.50545823
98.67;1.6796875;0;-0.032683831;0.378271483;0.143089315;1.985052107
98.75;1.6796875;0;0.026380186;-2.139092883;4.575718363;1.801417793
100.825;1.6796875;0;-0.006252161;-1.754843504;3.079475724;20.99228988
100.955;1.6796875;0;0.026643644;-2.531653279;6.409268325;1.796405729
100.96;1.6796875;0;0.013985377;-2.659104585;7.070837193;1.919196509
101.73;1.6796875;0;0.04973626;-17.17514058;294.9854541;68.82167203
102.615;1.6796875;0;0.046848696;3.945896406;15.57009845;2.650553314
102.985;1.6796875;0;-0.025073228;-0.298589709;0.089155814;3.501480679
103.7;1.6796875;0;0.035576806;-4.469585836;19.97719755;5.571028997
